"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify all buttons are hidden after clicking Hide","164","test_visibility_page","tests","2025-10-02","passed","2025-10-02","TestVisibilityPage","test_visibility","",""
"","186","test_auto_wait[scenario5]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that page loaded after long delay","5140","test_load_delays","tests","2025-10-02","passed","2025-10-02","TestLoadDelays","test_load_delays","",""
"Verify overlapped element","147","test_overlapped_element_using_default_approach","tests","2025-10-02","passed","2025-10-02","TestOverlappedElement","test_overlapped_element","",""
"","3672","test_auto_wait[scenario6]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"","3666","test_auto_wait[scenario7]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that a new ID can be generated in the Shadow DOM, copied to the clipboard, and is not empty in the edit field.","205","test_shadow_dom","tests","2025-10-02","passed","2025-10-02","TestShadowDom","test_shadow_dom","",""
"Verify that the button responds to a physical mouse click and changes state.","140","test_physical_click_on_button","tests","2025-10-02","passed","2025-10-02","TestClick","test_click","",""
"Verify that the progress bar reaches the target value within the allowed tolerance.","11524","test_progressbar","tests","2025-10-02","passed","2025-10-02","TestProgressBar","test_progressbar","",""
"Verify that a disabled input field can be enabled, text can be entered, and the entered text is correctly displayed","6050","test_disabled_input_page","tests","2025-10-02","passed","2025-10-02","TestDisabledInputPage","test_disabled_input","",""
"","3494","test_auto_wait[scenario4]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify label text is loaded by ajax request","16060","test_ajax_loaded_label_visible","tests","2025-10-02","passed","2025-10-02","TestAjaxData","test_ajax_data","",""
"","3694","test_auto_wait[scenario1]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that an hidden element is not interactable","30161","test_hidden_element_is_not_interactable","tests","2025-10-02","passed","2025-10-02","TestHiddenLayers","test_hidden_layers","",""
"Verify that a file can be uploaded via both the browse button and drag-and-drop functionality.","410","test_file_upload","tests","2025-10-02","passed","2025-10-02","TestFileUpload","test_file_upload","",""
"Verify that the hiding button is initially hidden and becomes visible after scrolling to it using bounding box coordinates.","183","test_scroll_using_bounding_box_coordinates","tests","2025-10-02","passed","2025-10-02","TestScrollbarsPage","test_scrollbars","",""
"Verify that hovering over links increments their click counts correctly","282","test_hover_and_click_increments_counts","tests","2025-10-02","passed","2025-10-02","TestMouseOver","test_mouse_over","",""
"Verify that a user can log in and see the correct welcome message","177","test_login_displays_welcome_message","tests","2025-10-02","passed","2025-10-02","TestSampleApp","test_sample_app","",""
"Verify that an element can be located by a specific class even if it has multiple classes.","256","test_element_located_by_one_of_classes","tests","2025-10-02","passed","2025-10-02","TestClassAttribute","test_class_attribute","",""
"Verify that the welcome message on the Verify Text page contains the expected username","126","test_verify_text","tests","2025-10-02","passed","2025-10-02","TestVerifyText","test_verify_text","",""
"Verify Alert, Confirm, and Prompt Dialogs","223","test_alerts","tests","2025-10-02","passed","2025-10-02","TestAlerts","test_alerts","",""
"Verify that the 'My Button' with non-breaking space is visible and interactable","126","test_button_with_non_breaking_space_is_ready","tests","2025-10-02","passed","2025-10-02","TestNonBreakingSpace","test_non_breaking_space","",""
"","235","test_auto_wait[scenario3]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that the button can be clicked regardless of its dynamic ID","270","test_button_click_without_using_dynamic_id","tests","2025-10-02","passed","2025-10-02","TestDynamicId","test_dynamic_id","",""
"","3659","test_auto_wait[scenario8]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that typing text via the physical keyboard updates the button label correctly.","207","test_button_label_updates_when_typing_via_keyboard","tests","2025-10-02","passed","2025-10-02","TestTextInput","test_text_input","",""
"","3446","test_auto_wait[scenario9]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"This test verifies that the CPU value for Chrome displayed in the dynamic table matches the highlighted Chrome CPU warning text shown on the page.","203","test_chrome_cpu_value_consistency","tests","2025-10-02","passed","2025-10-02","TestDynamicTable","test_dynamic_table","",""
"","3532","test_auto_wait[scenario0]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify label is visible after client side delay","16047","test_label_visible_after_client_side_delay","tests","2025-10-02","passed","2025-10-02","TestClientSideDelay","test_client_side_delay","",""
"","3663","test_auto_wait[scenario2]","tests","2025-10-02","passed","2025-10-02","TestAutoWait","test_auto_wait","",""
"Verify that the hiding button is initially hidden and becomes visible after clicking it using the default approach.","157","test_scroll_using_default_approach","tests","2025-10-02","passed","2025-10-02","TestScrollbarsPage","test_scrollbars","",""
"","5216","test_animated_button","tests","2025-10-02","passed","2025-10-02","TestAnimatedButton","test_animated_button","",""
